reference_label,candidate_label,iou,reference_volume_voxels,candidate_volume_voxels,volume_mean_voxels,volume_difference_voxels,volume_difference_percent,is_volume_outlier
1,1,1.0,256,256,256.0,0,0.0,False
2,2,1.0,292,292,292.0,0,0.0,False
3,3,1.0,247,247,247.0,0,0.0,False
4,4,1.0,613,613,613.0,0,0.0,False
5,5,1.0,277,277,277.0,0,0.0,False
6,6,1.0,418,418,418.0,0,0.0,False
7,7,1.0,259,259,259.0,0,0.0,False
8,8,1.0,447,447,447.0,0,0.0,False
9,9,1.0,385,385,385.0,0,0.0,False
10,10,1.0,250,250,250.0,0,0.0,False
11,11,1.0,317,317,317.0,0,0.0,False
12,12,1.0,254,254,254.0,0,0.0,False
13,13,1.0,541,541,541.0,0,0.0,False
14,14,1.0,329,329,329.0,0,0.0,False
15,15,1.0,246,246,246.0,0,0.0,False
16,16,1.0,342,342,342.0,0,0.0,False
17,17,1.0,368,368,368.0,0,0.0,False
18,18,1.0,727,727,727.0,0,0.0,False
19,19,1.0,418,418,418.0,0,0.0,False
20,20,1.0,409,409,409.0,0,0.0,False
21,21,1.0,252,252,252.0,0,0.0,False
22,22,1.0,340,340,340.0,0,0.0,False
23,23,1.0,395,395,395.0,0,0.0,False
24,24,1.0,290,290,290.0,0,0.0,False
25,25,1.0,237,237,237.0,0,0.0,False
26,26,1.0,222,222,222.0,0,0.0,False
27,27,1.0,619,619,619.0,0,0.0,False
28,28,1.0,295,295,295.0,0,0.0,False
29,29,1.0,439,439,439.0,0,0.0,False
30,30,1.0,336,336,336.0,0,0.0,False
31,31,1.0,273,273,273.0,0,0.0,False
32,32,1.0,425,425,425.0,0,0.0,False
33,33,1.0,355,355,355.0,0,0.0,False
34,34,1.0,343,343,343.0,0,0.0,False
35,35,1.0,244,244,244.0,0,0.0,False
36,36,1.0,309,309,309.0,0,0.0,False
37,37,1.0,353,353,353.0,0,0.0,False
38,38,1.0,349,349,349.0,0,0.0,False
39,39,1.0,407,407,407.0,0,0.0,False
40,40,1.0,475,475,475.0,0,0.0,False
41,41,1.0,407,407,407.0,0,0.0,False
42,42,1.0,227,227,227.0,0,0.0,False
43,43,1.0,458,458,458.0,0,0.0,False
44,44,1.0,338,338,338.0,0,0.0,False
45,45,1.0,396,396,396.0,0,0.0,False
46,46,1.0,447,447,447.0,0,0.0,False
47,47,1.0,352,352,352.0,0,0.0,False
48,48,1.0,1171,1171,1171.0,0,0.0,False
49,49,1.0,467,467,467.0,0,0.0,False
50,50,1.0,295,295,295.0,0,0.0,False
51,51,1.0,520,520,520.0,0,0.0,False
52,52,1.0,330,330,330.0,0,0.0,False
53,53,1.0,281,281,281.0,0,0.0,False
54,54,1.0,425,425,425.0,0,0.0,False
55,55,1.0,237,237,237.0,0,0.0,False
56,56,1.0,487,487,487.0,0,0.0,False
57,57,1.0,308,308,308.0,0,0.0,False
58,58,1.0,541,541,541.0,0,0.0,False
59,59,1.0,407,407,407.0,0,0.0,False
60,60,1.0,303,303,303.0,0,0.0,False
61,61,1.0,332,332,332.0,0,0.0,False
62,62,1.0,407,407,407.0,0,0.0,False
63,63,1.0,423,423,423.0,0,0.0,False
64,64,1.0,436,436,436.0,0,0.0,False
65,65,1.0,493,493,493.0,0,0.0,False
66,66,1.0,445,445,445.0,0,0.0,False
67,67,1.0,346,346,346.0,0,0.0,False
68,68,1.0,218,218,218.0,0,0.0,False
69,69,1.0,441,441,441.0,0,0.0,False
70,70,1.0,334,334,334.0,0,0.0,False
71,71,1.0,360,360,360.0,0,0.0,False
72,72,1.0,643,643,643.0,0,0.0,False
73,73,1.0,366,366,366.0,0,0.0,False
74,74,1.0,379,379,379.0,0,0.0,False
75,75,1.0,309,309,309.0,0,0.0,False
76,76,1.0,288,288,288.0,0,0.0,False
77,77,1.0,396,396,396.0,0,0.0,False
78,78,1.0,369,369,369.0,0,0.0,False
79,79,1.0,321,321,321.0,0,0.0,False
80,80,1.0,483,483,483.0,0,0.0,False
81,81,1.0,560,560,560.0,0,0.0,False
82,82,1.0,363,363,363.0,0,0.0,False
83,83,1.0,395,395,395.0,0,0.0,False
84,84,1.0,402,402,402.0,0,0.0,False
85,85,1.0,777,777,777.0,0,0.0,False
86,86,1.0,357,357,357.0,0,0.0,False
87,87,1.0,289,289,289.0,0,0.0,False
88,88,1.0,434,434,434.0,0,0.0,False
89,89,1.0,342,342,342.0,0,0.0,False
90,90,1.0,260,260,260.0,0,0.0,False
91,91,1.0,457,457,457.0,0,0.0,False
92,92,1.0,240,240,240.0,0,0.0,False
93,93,1.0,417,417,417.0,0,0.0,False
94,94,1.0,302,302,302.0,0,0.0,False
95,95,1.0,463,463,463.0,0,0.0,False
96,96,1.0,323,323,323.0,0,0.0,False
97,97,1.0,324,324,324.0,0,0.0,False
98,98,1.0,261,261,261.0,0,0.0,False
99,99,1.0,377,377,377.0,0,0.0,False
100,100,1.0,338,338,338.0,0,0.0,False
101,101,1.0,782,782,782.0,0,0.0,False
102,102,1.0,575,575,575.0,0,0.0,False
103,103,1.0,303,303,303.0,0,0.0,False
104,104,1.0,302,302,302.0,0,0.0,False
105,105,1.0,267,267,267.0,0,0.0,False
106,106,1.0,296,296,296.0,0,0.0,False
107,107,1.0,220,220,220.0,0,0.0,False
108,108,1.0,466,466,466.0,0,0.0,False
109,109,1.0,246,246,246.0,0,0.0,False
110,110,1.0,366,366,366.0,0,0.0,False
111,111,1.0,511,511,511.0,0,0.0,False
112,112,1.0,488,488,488.0,0,0.0,False
113,113,1.0,340,340,340.0,0,0.0,False
114,114,1.0,365,365,365.0,0,0.0,False
115,115,1.0,358,358,358.0,0,0.0,False
116,116,1.0,203,203,203.0,0,0.0,False
117,117,1.0,380,380,380.0,0,0.0,False
118,118,1.0,413,413,413.0,0,0.0,False
119,119,1.0,267,267,267.0,0,0.0,False
120,120,1.0,697,697,697.0,0,0.0,False
121,121,1.0,566,566,566.0,0,0.0,False
122,122,1.0,473,473,473.0,0,0.0,False
123,123,1.0,513,513,513.0,0,0.0,False
124,124,1.0,402,402,402.0,0,0.0,False
125,125,1.0,343,343,343.0,0,0.0,False
126,126,1.0,380,380,380.0,0,0.0,False
127,127,1.0,211,211,211.0,0,0.0,False
128,128,1.0,461,461,461.0,0,0.0,False
129,129,1.0,253,253,253.0,0,0.0,False
130,130,1.0,495,495,495.0,0,0.0,False
131,131,1.0,504,504,504.0,0,0.0,False
132,132,1.0,320,320,320.0,0,0.0,False
133,133,1.0,412,412,412.0,0,0.0,False
134,134,1.0,481,481,481.0,0,0.0,False
135,135,1.0,533,533,533.0,0,0.0,False
136,136,1.0,366,366,366.0,0,0.0,False
137,137,1.0,555,555,555.0,0,0.0,False
138,138,1.0,532,532,532.0,0,0.0,False
139,139,1.0,442,442,442.0,0,0.0,False
140,140,1.0,385,385,385.0,0,0.0,False
141,141,1.0,570,570,570.0,0,0.0,False
142,142,1.0,412,412,412.0,0,0.0,False
143,143,1.0,404,404,404.0,0,0.0,False
144,144,1.0,245,245,245.0,0,0.0,False
145,145,1.0,911,911,911.0,0,0.0,False
146,146,1.0,492,492,492.0,0,0.0,False
147,147,1.0,339,339,339.0,0,0.0,False
148,148,1.0,613,613,613.0,0,0.0,False
149,149,1.0,423,423,423.0,0,0.0,False
150,150,1.0,286,286,286.0,0,0.0,False
151,151,1.0,360,360,360.0,0,0.0,False
152,152,1.0,478,478,478.0,0,0.0,False
153,153,1.0,403,403,403.0,0,0.0,False
154,154,1.0,376,376,376.0,0,0.0,False
155,155,1.0,553,553,553.0,0,0.0,False
156,156,1.0,534,534,534.0,0,0.0,False
157,157,1.0,410,410,410.0,0,0.0,False
158,158,1.0,518,518,518.0,0,0.0,False
159,159,1.0,480,480,480.0,0,0.0,False
160,160,1.0,345,345,345.0,0,0.0,False
161,161,1.0,456,456,456.0,0,0.0,False
162,162,1.0,406,406,406.0,0,0.0,False
163,163,1.0,419,419,419.0,0,0.0,False
164,164,1.0,398,398,398.0,0,0.0,False
165,165,1.0,440,440,440.0,0,0.0,False
166,166,1.0,242,242,242.0,0,0.0,False
167,167,1.0,458,458,458.0,0,0.0,False
168,168,1.0,773,773,773.0,0,0.0,False
169,169,1.0,501,501,501.0,0,0.0,False
