reference_label,candidate_label,iou,reference_volume_voxels,candidate_volume_voxels,volume_mean_voxels,volume_difference_voxels,volume_difference_percent,is_volume_outlier
1,1,1.0,961,961,961.0,0,0.0,False
2,2,1.0,776,776,776.0,0,0.0,False
3,3,1.0,751,751,751.0,0,0.0,False
4,4,1.0,1454,1454,1454.0,0,0.0,False
5,5,1.0,536,536,536.0,0,0.0,False
6,6,1.0,882,882,882.0,0,0.0,False
7,7,1.0,1139,1139,1139.0,0,0.0,False
8,8,1.0,1481,1481,1481.0,0,0.0,False
9,9,1.0,1078,1078,1078.0,0,0.0,False
10,10,1.0,946,946,946.0,0,0.0,False
11,11,1.0,255,255,255.0,0,0.0,False
12,12,1.0,853,853,853.0,0,0.0,False
13,13,1.0,907,907,907.0,0,0.0,False
14,14,1.0,843,843,843.0,0,0.0,False
15,15,1.0,1639,1639,1639.0,0,0.0,False
16,16,1.0,431,431,431.0,0,0.0,False
17,17,1.0,940,940,940.0,0,0.0,False
18,18,1.0,934,934,934.0,0,0.0,False
19,19,1.0,2166,2166,2166.0,0,0.0,False
20,20,1.0,891,891,891.0,0,0.0,False
21,21,1.0,262,262,262.0,0,0.0,False
22,22,1.0,1127,1127,1127.0,0,0.0,False
23,23,1.0,277,277,277.0,0,0.0,False
24,24,1.0,1319,1319,1319.0,0,0.0,False
25,25,1.0,582,582,582.0,0,0.0,False
26,26,1.0,843,843,843.0,0,0.0,False
27,27,1.0,742,742,742.0,0,0.0,False
28,28,1.0,870,870,870.0,0,0.0,False
29,29,1.0,2024,2024,2024.0,0,0.0,False
30,30,1.0,1093,1093,1093.0,0,0.0,False
31,31,1.0,1282,1282,1282.0,0,0.0,False
32,32,1.0,1395,1395,1395.0,0,0.0,False
33,33,1.0,407,407,407.0,0,0.0,False
34,34,1.0,648,648,648.0,0,0.0,False
35,35,1.0,876,876,876.0,0,0.0,False
36,36,1.0,453,453,453.0,0,0.0,False
37,37,1.0,805,805,805.0,0,0.0,False
38,38,1.0,1959,1959,1959.0,0,0.0,False
39,39,1.0,1625,1625,1625.0,0,0.0,False
40,40,1.0,809,809,809.0,0,0.0,False
41,41,1.0,426,426,426.0,0,0.0,False
42,42,1.0,203,203,203.0,0,0.0,False
43,43,1.0,827,827,827.0,0,0.0,False
44,44,1.0,431,431,431.0,0,0.0,False
45,45,1.0,999,999,999.0,0,0.0,False
46,46,1.0,1753,1753,1753.0,0,0.0,False
47,47,1.0,886,886,886.0,0,0.0,False
48,48,1.0,649,649,649.0,0,0.0,False
49,49,1.0,258,258,258.0,0,0.0,False
50,50,1.0,1229,1229,1229.0,0,0.0,False
51,51,1.0,747,747,747.0,0,0.0,False
52,52,1.0,806,806,806.0,0,0.0,False
53,53,1.0,1095,1095,1095.0,0,0.0,False
54,54,1.0,921,921,921.0,0,0.0,False
55,55,1.0,724,724,724.0,0,0.0,False
56,56,1.0,1174,1174,1174.0,0,0.0,False
57,57,1.0,565,565,565.0,0,0.0,False
58,58,1.0,873,873,873.0,0,0.0,False
59,59,1.0,592,592,592.0,0,0.0,False
60,60,1.0,278,278,278.0,0,0.0,False
61,61,1.0,296,296,296.0,0,0.0,False
62,62,1.0,632,632,632.0,0,0.0,False
63,63,1.0,566,566,566.0,0,0.0,False
64,64,1.0,482,482,482.0,0,0.0,False
65,65,1.0,556,556,556.0,0,0.0,False
66,66,1.0,475,475,475.0,0,0.0,False
67,67,1.0,887,887,887.0,0,0.0,False
68,68,1.0,396,396,396.0,0,0.0,False
69,69,1.0,1518,1518,1518.0,0,0.0,False
70,70,1.0,707,707,707.0,0,0.0,False
71,71,1.0,1825,1825,1825.0,0,0.0,False
72,72,1.0,828,828,828.0,0,0.0,False
73,73,1.0,1497,1497,1497.0,0,0.0,False
74,74,1.0,821,821,821.0,0,0.0,False
75,75,1.0,944,944,944.0,0,0.0,False
76,76,1.0,925,925,925.0,0,0.0,False
77,77,1.0,726,726,726.0,0,0.0,False
78,78,1.0,874,874,874.0,0,0.0,False
79,79,1.0,1076,1076,1076.0,0,0.0,False
80,80,1.0,1281,1281,1281.0,0,0.0,False
81,81,1.0,568,568,568.0,0,0.0,False
82,82,1.0,953,953,953.0,0,0.0,False
83,83,1.0,1448,1448,1448.0,0,0.0,False
84,84,1.0,738,738,738.0,0,0.0,False
85,85,1.0,1035,1035,1035.0,0,0.0,False
86,86,1.0,551,551,551.0,0,0.0,False
87,87,1.0,770,770,770.0,0,0.0,False
88,88,1.0,238,238,238.0,0,0.0,False
89,89,1.0,342,342,342.0,0,0.0,False
90,90,1.0,575,575,575.0,0,0.0,False
91,91,1.0,720,720,720.0,0,0.0,False
92,92,1.0,1186,1186,1186.0,0,0.0,False
93,93,1.0,1359,1359,1359.0,0,0.0,False
94,94,1.0,1586,1586,1586.0,0,0.0,False
95,95,1.0,1126,1126,1126.0,0,0.0,False
96,96,1.0,412,412,412.0,0,0.0,False
97,97,1.0,1281,1281,1281.0,0,0.0,False
98,98,1.0,1046,1046,1046.0,0,0.0,False
