name,reference_count,candidate_count,count_delta,count_delta_percent,foreground_iou,optimal_matched_mean_iou,f1_at_0_50,f1_at_0_75,matched_mean_iou_at_0_50,matched_mean_iou_at_0_75,volume_wasserstein_voxels,volume_ks_statistic,median_volume_delta_percent,bland_altman_mean_difference_voxels,bland_altman_lower_limit_voxels,bland_altman_upper_limit_voxels,volume_outlier_count,likely_causes
Control__Explant_1__CRISPRi_cont_GFP_OTX2_far_red.tif,2595,2595,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
Control__Explant_1__CRISPRi_cont_GFP_OTX2_far_red001.tif,2056,2056,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
Control__Explant_1__CRISPRi_cont_GFP_OTX2_far_red002.tif,1535,1535,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
Control__Explant_1__CRISPRi_cont_GFP_OTX2_far_red003.tif,1171,1171,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
Control__Explant_2__CRISPRi_cont_GFP_OTX2_far_red.tif,1179,1179,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
Control__Explant_2__CRISPRi_cont_GFP_OTX2_far_red001.tif,1597,1597,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
Control__Explant_2__CRISPRi_cont_GFP_OTX2_far_red002.tif,1332,1332,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
Control__Explant_2__CRISPRi_cont_GFP_OTX2_far_red003.tif,1878,1878,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
Control__Explant_2__CRISPRi_cont_GFP_OTX2_far_red40x.tif,1411,1411,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
Control__Explant_3__CRISPRi_cont_GFP_OTX2_far_red.tif,2725,2725,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
