label,channel,voxel_count,mean,median,min,max,integrated_intensity
11,C1,261,963.7432950191571,887.0,221.0,2368.0,251537.0
12,C1,289,1112.311418685121,1032.0,82.0,2664.0,321458.0
15,C1,316,691.9810126582279,630.0,153.0,2021.0,218666.0
16,C1,262,1017.5343511450382,950.5,232.0,2810.0,266594.0
19,C1,331,826.7824773413897,718.0,153.0,2422.0,273665.0
26,C1,238,555.1722689075631,515.0,173.0,1522.0,132131.0
27,C1,323,899.969040247678,826.0,205.0,2631.0,290690.0
28,C1,281,969.1352313167259,877.0,168.0,2823.0,272327.0
30,C1,415,893.3807228915663,830.0,212.0,2554.0,370753.0
31,C1,427,1292.6440281030445,1188.0,198.0,3905.0,551959.0
32,C1,225,835.1111111111111,775.0,178.0,2118.0,187900.0
33,C1,224,808.1339285714286,745.5,227.0,1957.0,181022.0
38,C1,203,746.1970443349753,685.0,173.0,1957.0,151478.0
41,C1,223,864.9865470852018,753.0,237.0,2774.0,192892.0
42,C1,342,736.5204678362574,655.0,169.0,2731.0,251890.0
50,C1,234,945.0042735042736,900.0,155.0,2549.0,221131.0
53,C1,245,979.1918367346939,900.0,253.0,2679.0,239902.0
55,C1,289,1102.9723183391004,1016.0,184.0,3146.0,318759.0
56,C1,244,1098.7622950819673,998.0,235.0,3174.0,268098.0
60,C1,294,976.4455782312925,915.5,226.0,2163.0,287075.0
63,C1,262,1262.7748091603053,1205.0,374.0,3098.0,330847.0
64,C1,301,1084.7873754152824,1013.0,145.0,2616.0,326521.0
68,C1,231,902.6796536796537,825.0,260.0,2397.0,208519.0
73,C1,262,1389.3625954198474,1274.0,220.0,3715.0,364013.0
74,C1,149,1416.9328859060402,1341.0,200.0,3732.0,211123.0
80,C1,240,1182.3333333333333,1022.0,232.0,2931.0,283760.0
84,C1,286,911.3881118881119,824.5,243.0,2604.0,260657.0
86,C1,301,882.5083056478405,850.0,306.0,2247.0,265635.0
87,C1,645,1252.6,1184.0,302.0,3154.0,807927.0
89,C1,548,1113.1897810218977,1037.5,256.0,2969.0,610028.0
95,C1,157,1309.1910828025477,1364.0,348.0,2851.0,205543.0
100,C1,227,925.9867841409691,846.0,136.0,2090.0,210199.0
107,C1,503,1785.1809145129225,1740.0,325.0,3928.0,897946.0
109,C1,752,1340.7420212765958,1296.0,311.0,3276.0,1008238.0
121,C1,259,1623.4594594594594,1334.0,426.0,4095.0,420476.0
128,C1,214,1198.2102803738317,1164.0,395.0,2515.0,256417.0
136,C1,214,1332.1121495327102,997.0,365.0,4095.0,285072.0
141,C1,289,1526.7370242214533,1375.0,476.0,3327.0,441227.0
142,C1,319,1196.2131661442006,1167.0,384.0,3512.0,381592.0
149,C1,322,1200.1490683229813,1084.0,323.0,3142.0,386448.0
157,C1,408,1704.6225490196077,1439.0,204.0,4095.0,695486.0
158,C1,373,1275.71581769437,1195.0,217.0,2768.0,475842.0
165,C1,209,973.1722488038278,936.0,241.0,2172.0,203393.0
171,C1,212,975.7924528301887,938.0,269.0,2193.0,206868.0
172,C1,365,1158.3205479452056,1118.0,333.0,2579.0,422787.0
174,C1,506,1587.4347826086957,1403.0,379.0,4095.0,803242.0
182,C1,116,1213.5086206896551,1154.0,393.0,2963.0,140767.0
186,C1,566,1215.2597173144877,1126.0,354.0,3034.0,687837.0
191,C1,246,1135.2886178861788,1078.0,310.0,2565.0,279281.0
208,C1,310,1247.983870967742,1152.5,248.0,3312.0,386875.0
209,C1,495,1571.4747474747476,1555.0,256.0,3649.0,777880.0
221,C1,234,1274.0897435897436,1137.0,217.0,3266.0,298137.0
223,C1,432,1178.798611111111,1090.5,247.0,3270.0,509241.0
237,C1,212,1011.6603773584906,950.0,332.0,2310.0,214472.0
249,C1,290,1427.5862068965516,1362.0,398.0,3673.0,414000.0
265,C1,363,1298.473829201102,1207.0,317.0,3063.0,471346.0
270,C1,360,1410.6194444444445,1331.5,364.0,3359.0,507823.0
275,C1,393,1362.5241730279897,1302.0,311.0,3200.0,535472.0
307,C1,288,833.2604166666666,781.0,195.0,1906.0,239979.0
323,C1,5,438.4,406.0,307.0,617.0,2192.0
325,C1,322,1038.0031055900622,935.0,121.0,3432.0,334237.0
345,C1,353,808.2181303116147,714.0,269.0,2185.0,285301.0
353,C1,205,865.9414634146342,788.0,228.0,2350.0,177518.0
354,C1,231,1187.5238095238096,1021.0,275.0,2806.0,274318.0
359,C1,262,610.9274809160305,542.0,139.0,1842.0,160063.0
373,C1,45,975.4444444444445,888.0,341.0,2208.0,43895.0
